title,newspaper,date,time,category
Bangladesh and China committed to cooperation in water management: Rizwana,The Daily Star,2024-09-12,01:07:21.121226,Uncategorized
"Heavy rains likely in Dhaka, 4 other divisions in next 24 hours",The Daily Star,2024-09-12,01:07:21.202109,Uncategorized
"Tk 33cr needed to repair 2,799 primary schools damaged by floods: ministry",The Daily Star,2024-09-12,01:07:21.262689,Uncategorized
Shahnewaz Parvez made Titas MD,The Daily Star,2024-09-12,01:07:21.342676,Uncategorized
Production fully suspended at Barapukuria power plant due to technical glitch,The Daily Star,2024-09-12,01:07:21.446441,Uncategorized
Deep depression in Bay; maritime ports to hoist local cautionary signal 3,The Daily Star,2024-09-12,01:07:21.544443,Uncategorized
"Floods in Bangladesh: Singapore to contribute $100,000 to SRC fundraiser",The Daily Star,2024-09-12,01:07:21.660837,Uncategorized
"Flash floods: 4 dists count Tk 2,822cr in losses",The Daily Star,2024-09-12,01:07:21.755704,Uncategorized
Today's Gallery (2024.09.10),The Daily Star,2024-09-12,01:07:21.854958,Uncategorized
Today's Gallery (2024.09.08),The Daily Star,2024-09-12,01:07:21.947546,Uncategorized
Today's Gallery (2024.09.06),The Daily Star,2024-09-12,01:07:22.029769,Uncategorized
Today's Gallery (2024.09.04),The Daily Star,2024-09-12,01:07:22.116213,Uncategorized
Today's Gallery (2024.09.02),The Daily Star,2024-09-12,01:07:22.207921,Uncategorized
