title,link,newspaper,date,time,category
Star Cineplex unveils limited-time BOGO ticket deal,https://www.thedailystar.net/entertainment/tv-film/news/star-cineplex-unveils-limited-time-bogo-ticket-deal-3699971,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Why your job shouldn’t be your only relationship,https://www.thedailystar.net/life-living/lifehacks/news/why-your-job-shouldnt-be-your-only-relationship-3700276,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Why doing everything for your kids is a recipe for disaster,https://www.thedailystar.net/life-living/relationships-family/news/why-doing-everything-your-kids-recipe-disaster-3700266,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
#Perspective/ Kashful fields and starry nights: The magic of autumn in Bengal,https://www.thedailystar.net/life-living/news/kashful-fields-and-starry-nights-the-magic-autumn-bengal-3697266,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Dr Syed Ferhat Anwar appointed as Vice-Chancellor of BRAC University,https://www.thedailystar.net/campus/noticeboard/news/dr-syed-ferhat-anwar-appointed-vice-chancellor-brac-university-3700261,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Commuters suffer as job-seekers block Shahbagh,https://www.thedailystar.net/news/bangladesh/news/commuters-suffer-job-seekers-block-shahbagh-3696566,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Workplace bullying and the need for change,https://www.thedailystar.net/campus/career/news/workplace-bullying-and-the-need-change-3696276,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Press Release/ Oppo A3x launched in Bangladesh,https://www.thedailystar.net/tech-startup/news/oppo-a3x-launched-bangladesh-3700406,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Samsung Electronics to fire 30% of overseas employees: report,https://www.thedailystar.net/tech-startup/news/samsung-electronics-fire-30-overseas-employees-report-3700326,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Sony announces the PS5 Pro,https://www.thedailystar.net/tech-startup/news/sony-announces-the-ps5-pro-3699546,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Why do students need a new political party?,https://www.thedailystar.net/star-multimedia/news-multimedia/news/why-do-students-need-new-political-party-3698646,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
How former ambassador M Maruf was abducted,https://www.thedailystar.net/star-multimedia/news-multimedia/news/how-former-ambassador-m-maruf-was-abducted-3683346,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
How to get worthy organisers back in sports?,https://www.thedailystar.net/star-multimedia/sports-multimedia/news/how-get-worthy-organisers-back-sports-3680566,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
How lawyers helped free two protesters from police custody,https://www.thedailystar.net/star-multimedia/news/how-lawyers-helped-free-two-protesters-police-custody-3666356,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Quota reform protesters to announce next set of programmes tonight,https://www.thedailystar.net/news/news/quota-reform-protesters-announce-next-set-programmes-tonight-3658541,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
BOOK REVIEW: FICTION/ Mermaids are real A story of the Haenyeo,https://www.thedailystar.net/daily-star-books/news/mermaids-are-real-story-the-haenyeo-3700746,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
BOOK REVIEW: POETRY/ Balancing the act of oneness and being one with oneself,https://www.thedailystar.net/daily-star-books/news/balancing-the-act-oneness-and-being-one-oneself-3700741,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
REFLECTION/ Whispers of history: Revisiting ‘Rajmohan’s Wife’,https://www.thedailystar.net/daily-star-books/news/whispers-history-revisiting-rajmohans-wife-3699511,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
BOOK REVIEW : FICTION/ Riding the early years of motherhood through ‘Soldier Sailor’,https://www.thedailystar.net/daily-star-books/news/riding-the-early-years-motherhood-through-soldier-sailor-3697501,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
